timestamp,value,metric_name,component_id,component_path,instance,job
2025-07-13 17:25:48,1752427539,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:26:48,1752427599,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:27:48,1752427659,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:28:48,1752427719,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:29:48,1752427779,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:30:48,1752427839,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:31:48,1752427899,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:32:48,1752427959,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:33:48,1752428019,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:34:48,1752428079,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:35:48,1752428139,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:36:48,1752428199,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:37:48,1752428259,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:38:48,1752428319,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:39:48,1752428379,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:40:48,1752428439,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:41:48,1752428499,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:42:48,1752428559,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:43:48,1752428619,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:44:48,1752428679,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:45:48,1752428739,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:46:48,1752428799,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:47:48,1752428859,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:48:48,1752428919,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:49:48,1752428979,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:50:48,1752429039,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:51:48,1752429099,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:52:48,1752429159,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:53:48,1752429219,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:54:48,1752429279,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:55:48,1752429339,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:56:48,1752429399,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:57:48,1752429459,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:58:48,1752429519,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 17:59:48,1752429579,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 18:00:48,1752429639,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 18:01:48,1752429699,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-13 18:02:48,1752429759,prometheus_remote_storage_highest_timestamp_in_seconds,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
