timestamp,value,metric_name,horizontalpodautoscaler,instance,job,metric_target_type,namespace
2025-07-12 05:30:28,0.01,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:31:28,0.013,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:32:28,0.5,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:33:28,0.437,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:34:28,0.173,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:35:28,0.172,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:36:28,0.122,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:37:28,0.139,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:38:28,0.139,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:39:28,0.139,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:40:28,0.139,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:41:28,0.139,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:42:28,0.063,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:43:28,0.066,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:44:28,0.192,cpu,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
