timestamp,value,metric_name,component_id,component_path,host,instance,job
2025-07-05 07:18:06,227606,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:19:06,251316,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:20:06,273708,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:21:06,296681,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:22:06,318213,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:23:06,341621,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:24:06,363919,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:25:06,385361,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:26:06,406512,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:27:06,434927,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:28:06,468806,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:29:06,506508,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:30:06,553652,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:31:06,592769,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:32:06,652920,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:33:06,706525,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:34:06,767728,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:35:06,825096,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:36:06,883672,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:37:06,937708,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:38:06,994233,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:39:06,1066216,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:40:06,1129248,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:41:06,1197474,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:42:06,1257381,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-05 07:43:06,1331471,loki_write_encoded_bytes_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
